Grant Number,Title
RFA-HD-12-201,global network for womenâs and childrenâs health research data coordinating center (u01)
RFA-DC-13-002,innovative and novel approaches toward inner ear regenerative therapies by early stage investigators (r01)
RFA-HD-13-012,global partnerships for social science aids research (r24)
RFA-OH-11-001,centers of excellence to promote a healthier workforce (u19) nih is not participating in this
RFA-NS-11-009,clinical coordinating center for the network of excellence in neuroscience clinical trials (next - ccc) (u01)
RFA-FD-14-024,pharmacokinetic and pharmacodynamic (pk-pd) studies of cardiovascular drugs (u01)
RFA-MH-14-212,research to improve the care of persons at clinical high risk for psychotic disorders (r34)
RFA-HL-09-005,nhlbi progenitor cell biology consortium administrative coordinating center (u01)
RFA-RM-11-002,the market for long-term care insurance (r01)
RFA-DA-14-012,"comorbid hiv, chronic pain, and substance use among older adults (r21)"
RFA-HD-13-014,data coordinating center for the nichd cooperative multicenter neonatal research network (u10)
RFA-FD-14-015,pharmacokinetic/pharmacodynamic (pk/pd) studies of methylphenidate extended release products in attention deficit hyperactivity disorder (adhd) patients (u01)
RFA-RM-07-013,reference epigenome mapping centers (u01)
RFA-FD-11-006,"analgesic clinical trials innovations, opportunities, and networks (action) (u01)"
RFA-MH-13-091,advancing community-level approaches to reduce hiv infection in highly impacted communities (r21)
RFA-HG-10-004,a centralized protein sequence and function resource (u41)
RFA-HL-14-020,"evaluation and administration coordinating center for the low-cost, pragmatic, patient-centered randomized controlled intervention trials (r01)"
RFA-DA-11-002,2011 nida avant-garde award program for hiv/aids research (dp1)
RFA-RM-08-023,patient-reported outcomes measurement information system (promis) research sites (u01)
RFA-RM-12-004,human health and heredity in africa (h3africa): research grants (u01)
RFA-MH-09-030,probes and instrumentation for monitoring and manipulating nervous system plasticity (r01)
RFA-RM-08-029,roadmap transformative r01 program (r01)
RFA-FD-14-021,retrospective analysis on the impact of generic immunosuppressants on acute rejection and long term graft survivals (u01)
RFA-CA-12-012,nci national clinical trials network - network group integrated translational science centers (u10)
RFA-MH-14-120,mentored career development award to build research capacity in global mental health (k01)
RFA-AT-14-005,"health services and observational studies of non-pharmacological approaches to managing pain and co-morbid conditions in u.s. military personnel, veterans, and their families (r01)"
RFA-CA-10-016,clinical proteomic technologies for cancer initiative (cptc): proteome characterization centers (u24)
RFA-HL-10-008,nhlbi centers for cardiovascular outcomes research (u01)
RFA-HG-13-006,revolutionary genome sequencing technologies the $1000 genome (r21)
RFA-FD-15-001,clinical studies of safety and effectiveness of orphan products research project grant (r01)
RFA-RM-16-004,nih director's new innovator award program (dp2)
RFA-AI-17-039,understanding immunopathogenesis of tuberculosis in hiv-1 infected and exposed children (r01 clinical trial not allowed)
RFA-AI-17-037,immunity in the elderly (r01 clinical trial optional)
RFA-DA-18-005,expanding medication assisted treatment for opioid use disorders in the context of the samhsa opioid str grants (r21/r33)
RFA-HD-18-019,interaction of hiv and neurodevelopment of children in resource-limited settings: improving assessments (r01)
RFA-CA-18-002,innovative molecular and cellular analysis technologies for basic and clinical cancer research (r21 clinical trial not allowed)
RFA-MH-19-201,rare genetic disorders as a window into the genetic architecture of mental disorders (collaborative u01 clinical trial not allowed)
RFA-HD-20-007,the role of stem/progenitor cells in the pathogenesis and treatment of gynecologic disorders (r21 clinical trial optional)
RFA-DA-16-001,advancing exceptional research on hiv/aids and substance abuse (r01)
RFA-MH-18-610,"altered neuronal circuits, receptors and networks in hiv-induced central nervous system (cns) dysfunction (r01)"
RFA-MH-17-300,the neural mechanisms of multi-dimensional emotional and social representation (r01)
RFA-DA-18-022,advancing exceptional research on hiv/aids and substance abuse (r01 clinical trial optional)
RFA-DK-17-011,"catalyst award in diabetes, endocrinology and metabolic diseases (dp1- clinical trials not allowed)"
RFA-NS-18-018,brain initiative: biology and biophysics of neural stimulation (r01 clinical trial optional)
RFA-AI-20-001,combating antibiotic-resistant bacteria (carb) interdisciplinary research units (u19 clinical trial not allowed)
RFA-RM-16-005,nih director's pioneer award program (dp1)
RFA-AI-17-014,partnerships for development of clinically useful diagnostics for antimicrobial-resistant bacteria (r01)
RFA-AI-18-022,advancing mabs to achieve a drug-free sustained hiv virologic remission (u01 clinical trial required)
RFA-DK-17-014,diabetic foot consortium - clinical research units (u01)
RFA-RM-16-016,human heredity and health in africa (h3 africa): collaborative centers (u54)
RFA-DK-18-008,type 1 diabetes trialnet clinical network hub (u01 clinical trial not allowed)
RFA-RM-16-017,human heredity and health in africa (h3africa): coordinating center (u24)
RFA-DK-17-006,center for identification and study of individuals with atypical diabetes mellitus (u54)
RFA-DK-16-025,apol1 long-term kidney transplantation outcomes network (apollo) clinical centers (collaborative u01)
RFA-DK-18-509,limited competition for the continuation of the coordinating center for type 1 diabetes trialnet (u01 clinical trial required)
RFA-RM-18-023,innovative technologies to deliver genome editing machinery to disease-relevant cells and tissues (ug3/uh3 clinical trial not allowed)
RFA-DK-18-018,understanding the glycemic profile of pregnancy - clinical centers (u01 clinical trial not allowed)
RFA-DK-18-019,understanding the glycemic profile of pregnancy - biostatistics research center (u01 clinical trial not allowed)
RFA-AR-21-004,"niams resource-based centers for bone, muscle and orthopaedic research (p30 - clinical trial not allowed)"
RFA-DK-16-015,"innovative research in hiv in kidney, urology, and hematology (r01)"
RFA-NS-18-019,brain initiative: optimization of transformative technologies for large scale recording and modulation in the nervous system (u01 clinical trials not allowed)
RFA-RM-18-007,nih director's pioneer award (dp1 - clinical trial optional)
RFA-DK-18-506,limited competition for the continuation of the nonalcoholic steatohepatitis clinical research network (nash crn) data coordinating center (u24 clinical trial required)
RFA-AT-17-001,nih-dod-va pain management collaboratory - pragmatic clinical trials demonstration projects (ug3/uh3)
RFA-NS-18-023,brain initiative: clinical studies to advance next-generation invasive devices for recording and modulation in the human central nervous system (uh3 clinical trial required)
RFA-CA-17-012,innovative technologies for cancer-relevant biospecimen science (r21)
RFA-CA-20-033,sbir phase iib bridge awards to accelerate the development of cancer-relevant technologies toward commercialization (r44 clinical trial optional)
RFA-CA-19-045,participant engagement and cancer genome sequencing (pe-cgs): research centers (u2c clinical trial optional)
RFA-FD-20-001,clinical studies of orphan products addressing unmet needs of rare diseases (r01)
RFA-DA-19-019,heal initiative: america s startups and small businesses build technologies to stop the opioid crisis (r43/r44 - clinical trial optional)
RFA-AG-19-020,clinical trial on effects of statins in older adults without clinical cardiovascular disease (u19 clinical trial required)
RFA-HD-19-017,national centers for translational research in reproduction and infertility (p50 clinical trial optional)
RFA-CA-19-033,"improving outcomes for pediatric, adolescent and young adult cancer survivors (u01 clinical trial required)"
RFA-AT-19-001,"promoting research on music and health: phased innovation award for music interventions (r61/r33, clinical trial optional)"
RFA-TR-18-020,rare diseases clinical research consortia (rdcrc) for the rare diseases clinical research network (rdcrn) (u54 clinical trial optional)
RFA-AI-19-041,hla and kir region genomics in immune-mediated diseases (u01 clinical trial not allowed)
RFA-OD-19-018,clinical trials development for co-occurring conditions in individuals with down syndrome: phased awards for include (r61/r33 clinical trials required)
RFA-FD-21-001,clinical studies of orphan products addressing unmet needs of rare diseases (r01) clinical trials required
RFA-AG-21-024,claude d. pepper older americans independence centers (p30 clinical trial optional)
RFA-DC-20-002,nidcd's mentored research pathway for otolaryngology residents and medical students (r25 - clinical trial not allowed)
RFA-MH-20-110,secondary data analysis to examine long-term and/or potential cross-over effects of prevention interventions: what are the benefits for preventing mental health disorders? (r01 clinical trial not allowed)
RFA-NS-19-003,brain initiative: team-research brain circuit programs - teambcp (u19 clinical trial not allowed)
RFA-ES-18-009,maintain and enrich resource infrastructure for existing environmental epidemiology cohorts (r24 clinical trial not allowed)
RFA-MH-17-614,confirmatory efficacy clinical trials of non-pharmacological interventions for mental disorders (r01)
RFA-HD-18-011,child health research career development award (chrcda) program (k12)
RFA-AI-16-079,partnerships for development of vaccines to prevent mycobacterium tuberculosis infection and/or tuberculosis disease (r01)
RFA-AI-19-072,novel therapeutics directed to intracellular hiv targets (r21 clinical trial not allowed)
RFA-ES-18-001,outstanding new environmental scientist (ones) award (r01 clinical trial optional)
RFA-MD-18-005,youth violence prevention interventions that incorporate racism/discrimination prevention (r01-clinical trial required)
RFA-MH-18-510,brain initiative fellows: ruth l. kirschstein national research service award (nrsa) individual postdoctoral fellowship (f32)
RFA-NS-16-022,biomarkers for the lewy body dementias (u01)
RFA-NS-16-001,research program award (r35)
RFA-HD-21-013,developmental mechanisms of human structural birth defects (p01 clinical trial not allowed)
RFA-AI-18-053,single-cell multi-omics of hiv persistence (r01 clinical trial not allowed)
RFA-AI-19-045,hiv/aids clinical trials units (um1 clinical trial required)
RFA-CA-20-052,limited competition: childhood cancer survivor study (u24 clinical trial required)
RFA-ES-15-020,outstanding new environmental scientist (ones) award (r01)
RFA-AI-18-046,vaccine and treatment evaluation units (vteus) (um1 clinical trial required)
RFA-NS-18-007,nih blueprint diversity specialized predoctoral to postdoctoral advancement in neuroscience (d-span) award (f99/k00)
RFA-AI-19-004,"hiv/aids maternal, adolescent and pediatric therapeutics clinical trials network leadership and operations center (um1 clinical trial required)"
RFA-CA-16-005,the nci predoctoral to postdoctoral fellow transition award (f99/k00)
RFA-AI-19-059,accelerating discovery of efficacious pre-erythrocytic stage malaria vaccines (u01 clinical trial not allowed)
RFA-MH-18-701,"clinical trials to test the effectiveness of treatment, preventive, and services interventions (r01 clinical trial required)"
RFA-AI-16-053,elucidation of mechanisms of radiation-induced endovascular injury and development of treatments/mitigators for radiation-induced endothelial cell and vascular dysfunction (u01)
RFA-AI-19-001,hiv/aids clinical trials networks laboratory centers (um1 clinical trial required)
RFA-AI-19-002,hiv/aids clinical trials networks statistical and data management centers (um1 clinical trial required)
RFA-AI-17-026,partnerships for countermeasures against select pathogens (r01)
RFA-HL-16-024,nhlbi outstanding investigator award (oia) (r35)
RFA-CA-18-001,the nci predoctoral to postdoctoral fellow transition award (f99/k00)
RFA-ES-20-001,collaborative centers in children's environmental health research and translation (p2c clinical trial optional)
RFA-MH-18-707,confirmatory efficacy clinical trials of non-pharmacological interventions for mental disorders (r01 clinical trial required)
RFA-MH-20-326,dysregulation and proximal risk for suicide (r21 clinical trial optional)
RFA-DK-18-001,silvio o. conte digestive diseases research core centers (p30 clinical trial optional)
RFA-MH-20-421,nimh career enhancement award to advance autism services research for adults and transition-age youth (k18 clinical trial required)
RFA-AA-17-002,comprehensive alcohol research centers (p60)
RFA-MD-18-007,nimhd minority health and health disparities research training (mhrt) program (t37)
RFA-HL-19-026,mentored career development award to promote faculty diversity in biomedical research (k01 independent clinical trial not allowed)
RFA-AI-19-065,understanding phage biology to support the development of bacteriophage therapy (r21 clinical trial not allowed)
RFA-AI-20-021,vaccine and treatment evaluation units (vteus): enhancing capability and capacity (um1 clinical trial required)
RFA-NS-17-014,brain initiative: targeted brain circuits projects - targetedbcp (r01)
RFA-HL-20-029,limited competition: small grant program for nhlbi k01/k08/k23 recipients (r03 - clinical trial optional)
RFA-HS-20-003,"novel, high-impact studies evaluating health system and healthcare professional responsiveness to covid-19 (r01)"
RFA-AA-19-003,comprehensive alcohol-hiv/aids research center (p60 clinical trial optional)
RFA-AA-17-001,specialized alcohol research centers (p50)
RFA-DK-19-019,"food as medicine: food insecurity and hiv-related comorbidities, coinfections, and complications within the mission of the niddk (r01 clinical trial optional)"
RFA-DK-16-020,diabetes research centers (p30)
RFA-OD-19-012,short courses on innovative methodologies and approaches in the behavioral and social sciences (r25 clinical trial not allowed)
RFA-RM-16-024,knowledge management center for illuminating the druggable genome (u24)
RFA-AI-18-054,u.s.-brazil collaborative biomedical research program (r01 clinical trial optional)
RFA-RM-15-011,molecular transducers of physical activity metabolomics and proteomics chemical analysis sites (u24)
RFA-HL-18-026,mentored career development award to promote faculty diversity in biomedical research (k01 clinical trial not allowed)
RFA-HL-20-007,advancing novel research models to study idiopathic pulmonary fibrosis (u01 clinical trial not allowed)
RFA-NS-19-011,nih blueprint diversity specialized predoctoral to postdoctoral advancement in neuroscience (d-span) award (f99/k00 independent clinical trial not allowed)
RFA-CA-15-011,smoking cessation within the context of lung cancer screening (r01)
RFA-AI-16-027,t cell reagent research for the study of allergic diseases (u19)
RFA-HL-18-023,stimulating access to research in residency (starr) (r38)
RFA-MH-18-700,"clinical trials to test the effectiveness of treatment, preventive, and services interventions (collaborative r01 - clinical trial required)"
RFA-DK-20-504,"limited competition for the continuation of clinical centers to investigate the pathogenesis, etiology, and treatment of gastroparesis through the niddk gastroparesis consortium (u01 clinical trial optional)"
RFA-RM-18-010,nih director's early independence award (dp5 - clinical trial optional)
RFA-DA-18-008,exploring novel rna modifications in hiv/aids and substance use disorders (r01)
RFA-HL-20-011,nhlbi outstanding investigator award (oia) (r35 clinical trial optional)
RFA-NS-19-043,brain initiative advanced postdoctoral career transition award to promote diversity (k99/r00 independent clinical trial not allowed)
RFA-CA-20-014,nci pathway to independence award for outstanding early stage postdoctoral researchers (k99/r00 - independent clinical trial not allowed)
RFA-ES-20-004,optimizing natural systems for remediation: utilizing innovative materials science approaches to enhance bioremediation (r01 clinical trial not allowed)
RFA-HL-16-006,mentored career development award to promote faculty diversity in biomedical research (k01)
RFA-MH-18-300,role of myeloid cells in persistence and eradication of hiv-1 reservoirs from the brain (r01)
RFA-DK-20-505,limited competition for the continuation of the scientific data research center (sdrc) for the niddk gastroparesis consortium (u24 clinical trial optional)
RFA-HL-16-025,nhlbi emerging investigator award (eia) (r35)
RFA-HL-19-011,"long non-coding rna in cardiovascular, lung, blood, and sleep research (r01 clinical trial not allowed)"
RFA-RM-15-015,molecular transducers of physical activity clinical centers (u01)
RFA-OD-20-016,emergency awards: radx-rad multimodal covid-19 surveillance methods for high risk clustered populations (r01 clinical trial optional)
RFA-AI-17-034,maintaining immunity after immunization (u01 clinical trial optional)
RFA-OD-20-014,emergency awards: automatic detection and tracing of sars-cov-2 (u01 clinical trial not allowed)
RFA-OD-20-023,emergency awards: radx-rad predicting viral-associated inflammatory disease severity in children with laboratory diagnostics and artificial intelligence (prevail kids) (r61/r33 clinical trial optional)
RFA-OD-20-018,emergency awards: exosome-based non-traditional technologies towards multi-parametric and integrated approaches for sars-cov-2 (u18 clinical trial not allowed)
RFA-OD-20-017,emergency awards radx-rad: screening for covid-19 by electronic-nose technology (scent) (u18 clinical trial not allowed)
RFA-OD-20-020,"emergency awards radx-rad: novel biosensing for screening, diagnosis and monitoring of covid-19 from skin and the oral cavity (r44 clinical trial not allowed)"
RFA-OD-20-015,emergency awards: radx-rad wastewater detection of sars-cov-2 (covid-19) (u01 - clinical trials not allowed)
RFA-OD-20-022,emergency awards: chemosensory testing as a covid-19 screening tool (u01 clinical trial optional)
RFA-CA-19-002,the nci predoctoral to postdoctoral fellow transition award (f99/k00)
RFA-OD-19-028,tobacco regulatory science (r01 clinical trial optional)
RFA-HL-19-012,deciphering the molecular landscape of lung aging in humans (u01 - clinical trial not allowed)
RFA-DC-19-001,nidcd hearing healthcare for adults: improving access and affordability (r21/r33 clinical trials optional)
RFA-MH-20-351,utilizing invasive recording and stimulating opportunities in humans to advance neural circuitry understanding of mental health disorders (r21 clinical trial optional)
RFA-MH-20-226,enhancing suicide prevention in emergency care via telehealth (r01 clinical trial optional)
RFA-CA-20-032,"radiobiology of high linear energy transfer (high let) exposure in cancer treatment (r01, clinical trial not allowed)"
RFA-HL-20-012,nhlbi emerging investigator award (eia) (r35 clinical trial optional)
RFA-AA-18-001,specialized alcohol research centers (p50)
RFA-NS-20-015,nih blueprint program for enhancing neuroscience diversity through undergraduate research education experiences (bp-endure) (r25 clinical trial not allowed)
RFA-AI-16-080,systems biology: the next generation for infectious diseases (u19)
RFA-MD-17-006,research centers in minority institutions (rcmi) (u54)
RFA-CA-19-044,advancing cancer immunotherapy by mitigating immune-related adverse events (irae) (u01 clinical trial not allowed)
RFA-MH-21-100,fine-mapping genome-wide associated loci to identify proximate causal mechanisms of serious mental illness (r01 clinical trial not allowed)
RFA-HS-20-002,supporting primary care to advance cardiovascular health in states with high prevalence of preventable cvd events (u18)
RFA-RM-17-008,nih director's early independence awards (dp5)
RFA-CA-19-009,u.s.-china program for biomedical collaborative research (r01 clinical trial optional)
RFA-AI-16-081,partnerships for the development of tools to advance therapeutic discovery for select antimicrobial-resistant gram-negative bacteria (r01)
RFA-AI-18-037,halting tb transmission in hiv-endemic and other high-transmission settings (r01 clinical trial not allowed)
RFA-FD-20-002,cigar tobacco reference products program (uc2) clinical trials not allowed
RFA-AI-18-016,targeted in vivo delivery of gene therapeutics for hiv cure (r01 clinical trial not allowed)
RFA-CA-17-014,the nci predoctoral to postdoctoral fellow transition award (f99/k00)
RFA-MH-18-704,development of psychosocial therapeutic and preventive interventions for mental disorders (r61/r33- clinical trial required)
RFA-NS-18-012,translational neural devices (u44 clinical trial required)
RFA-AA-20-001,specialized alcohol research centers (p50 clinical trial optional)
RFA-AI-18-045,radiation biodosimetry assays and devices (u01 clinical trial not allowed)
RFA-MH-18-706,"pilot effectiveness trials for treatment, preventive and services interventions (r34- clinical trial required)"
RFA-ES-20-007,pediatric and reproductive environmental health scholars program (k12 independent clinical trial not allowed)
RFA-ES-18-005,the role of the microbiome in the developmental origins of health and disease (dohad) (r01 clinical trial not allowed)
RFA-ES-19-001,functional rna modifications environment and disease (framed) (r01 clinical trial not allowed)
RFA-OD-20-002,animal and biological material resource centers (p40) (clinical trials not-allowed)
RFA-HL-19-001,coordination center for programs to increase diversity among individuals engaged in health-related research (pride) (u24 clinical trial not allowed)
RFA-HL-16-008,short-term research education program to increase diversity in health-related research (r25)
RFA-RM-18-018,somatic cell genome editing dissemination and coordinating center (u24 clinical trial not allowed)
RFA-AI-16-065,asthma and allergic diseases cooperative research centers (u19)
RFA-AA-20-008,collaborative initiative on fetal alcohol spectrum disorders (cifasd) exploratory/developmental research projects (uh2 clinical trial optional)
RFA-OD-19-027,resource-related research projects for development of animal models and related materials (r24 clinical trials not-allowed)
RFA-ES-18-002,superfund hazardous substance research and training program (p42 clinical trial optional)
RFA-MH-16-406,exploratory clinical trials of novel interventions for mental disorders (r61/r33)
RFA-NS-19-006,brain initiative: research resource grants for technology integration and dissemination (u24 clinical trial not allowed)
RFA-HL-18-027,mentored career development award to promote faculty diversity in biomedical research (k01 clinical trial required)
RFA-CA-19-032,provocative questions (pqs) in cancer with an underlying hiv infection (r01 clinical trial optional)
RFA-AI-17-036,repurposing target-based pharmaceutical libraries for discovery of therapeutics against eukaryotic pathogens (r21/r33)
RFA-MH-18-200,nimh biobehavioral research awards for innovative new scientists (nimh brains) (r01)
RFA-ES-20-018,utilizing in vitro functional genomics advances for gene-environment (g x e) discovery and validation (r01 clinical trial not allowed)
RFA-HG-18-001,novel nucleic acid sequencing technology development (r01 clinical trial not allowed)
RFA-AI-17-042,centers of excellence for translational research (cetr) (u19 clinical trial not allowed)
RFA-AI-19-068,immune tolerance network (um1 clinical trial required)
RFA-AT-20-003,"emotional well-being: high-priority research networks (u24, clinical trial optional)"
RFA-CA-19-019,innovative molecular and cellular analysis technologies for basic and clinical cancer research (r21 clinical trials not allowed)
RFA-MH-19-130,nimh biobehavioral research awards for innovative new scientists (nimh brains) (r01 clinical trial optional)
RFA-HL-20-001,career pathway to independence in blood science award for physician scientists (k99/r00 independent clinical trial not allowed)
RFA-DK-17-016,lymphatics in health and disease in the digestive system (r01- clinical trials not allowed)
RFA-DK-18-006,"undergraduate summer research education in kidney, urologic, and hematologic diseases (r25 clinical trial not allowed)"
RFA-AT-18-003,discovery and biological signatures of diet-derived microbial metabolites (r01 clinical trial optional)
RFA-AI-15-051,consortium for food allergy research: clinical research units (um1)
RFA-AT-19-008,exploring the mechanisms underlying analgesic properties of minor cannabinoids and terpenes (r01 clinical trial optional)
RFA-AG-21-021,paul b. beeson emerging leaders career development award in aging (k76 clinical trial required)
RFA-DK-20-506,limited competition for the continuation of the urinary stone disease research network (usdrn) clinical centers (u01 clinical trial required)
RFA-AI-20-060,"cohort studies to improve our understanding of influenza immunity, vaccine response and effectiveness in older adults (65 years and older) (u01 clinical trial not allowed)"
RFA-NS-17-006,brain initiative: clinical studies to advance next-generation invasive devices for recording and modulation in the human central nervous system (uh3)
RFA-RM-15-013,molecular transducers of physical activity preclinical animal study sites (u01)
RFA-MH-18-702,early stage testing of pharmacologic or device-based interventions for the treatment of mental disorders (r61/r33- clinical trial required)
RFA-AI-20-064,a multidisciplinary approach to study vaccine-elicited immunity and efficacy against malaria (u01 clinical trial not allowed)
RFA-DA-18-001,nida avant-garde award program for hiv/aids and drug use research (dp1)
RFA-HL-19-002,programs to increase diversity among individuals engaged in health-related research (pride) (r25 clinical trial not allowed)
RFA-DA-18-023,identification of biomarkers of hiv-1 pathogenesis and substance abuse comorbidity (r01- clinical trial not allowed)
RFA-MD-18-012,research centers in minority institutions (rcmi) (u54 clinical trials optional)
RFA-HL-19-025,mentored career development award to promote faculty diversity in biomedical research (k01 independent clinical trial required)
RFA-AG-19-017,paul b. beeson emerging leaders career development award in aging (k76 independent clinical trial not allowed)
RFA-CA-15-014,research centers for cancer systems biology consortium (u54)
RFA-HL-19-024,short-term research education program to increase diversity in health-related research (r25 clinical trial not allowed)
RFA-AR-20-002,mechanistic ancillary studies to ongoing clinical projects (r21 clinical trial not allowed)
RFA-DE-20-006,"defining lineage plasticity and endogenous regeneration capacity of dental, oral, and craniofacial tissues (r01 clinical trial not allowed)"
RFA-CA-20-019,innovative biospecimen science technologies for basic and clinical cancer research (r21 clinical trials not allowed)
RFA-DA-20-005,limited competition cohort studies of hiv/aids and substance abuse (u01 clinical trial not allowed)
RFA-ES-20-013,resolution of inflammation in environmentally related disease (restore) (r01 clinical trial not allowed)
RFA-AI-18-042,fc-dependent mechanisms of antibody-mediated killing (u01 clinical trial not allowed)
RFA-AG-18-005,the health and retirement study (u01)
RFA-CA-19-020,advanced development and validation of emerging molecular and cellular analysis technologies for basic and clinical cancer research (r33 clinical trials not allowed)
RFA-NS-17-009,nih blueprint diversity specialized predoctoral to postdoctoral advancement in neuroscience (d-span) award (f99/k00)
RFA-AI-20-055,understanding evolutionary dynamics of influenza to inform and improve vaccine strain selection (r01 clinical trial not allowed)
RFA-MH-18-250,limited competition: national neuroaids tissue consortium (nntc) clinical sites (u24)
RFA-OD-19-013,specialized centers of research excellence (score) on sex differences (u54 clinical trial optional)
RFA-ES-20-014,superfund hazardous substance research and training program (p42 clinical trial optional)
RFA-AA-20-002,comprehensive alcohol research centers (p60 clinical trial optional)
RFA-HD-16-020,eunice kennedy shriver nichd cooperative multicenter neonatal research network (ug1)
RFA-DE-20-007,"defining lineage plasticity and endogenous regeneration capacity of dental, oral, and craniofacial tissues (r21 clinical trial not allowed)"
RFA-DA-20-016,national drug early warning system coordinating center (u01 clinical trial optional)
RFA-MH-18-705,development of psychosocial therapeutic and preventive interventions for mental disorders (r33 clinical trial required)
RFA-AI-18-005,sexually transmitted infections (sti) cooperative research centers (crc): vaccine development (u19 clinical trial not allowed)
RFA-CA-17-059,nci national clinical trials network - network lead academic participating sites (ug1)
RFA-ES-19-007,"revolutionizing innovative, visionary environmental health research (river) (r35 clinical trial not allowed)"
RFA-AG-21-008,national longitudinal study of adolescent to adult health (add health) wave 6 (u01 clinical trial not allowed)
RFA-CA-21-007,revision applications for incorporation of novel nci-supported technology to accelerate cancer research (r01 clinical trial optional)
RFA-CA-21-003,innovative molecular and cellular analysis technologies for basic and clinical cancer research (r21 clinical trial not allowed)
RFA-AI-20-056,coccidioidomycosis collaborative research centers (u19 clinical trial not allowed)
RFA-AG-19-018,paul b. beeson emerging leaders career development award in aging (k76 independent clinical trial required)
RFA-CA-21-005,innovative biospecimen science technologies for basic and clinical cancer research (r21 clinical trial not allowed)
RFA-HL-19-009,cardiothoracic surgical trials network (ctsn) linked clinical research centers (um1 clinical trial not allowed)
RFA-GM-17-004,maximizing investigators' research award for early stage investigators (r35)
RFA-DA-19-008,the national drug abuse treatment clinical trials network (ug1 clinical trial optional)
RFA-CA-20-017,innovative molecular and cellular analysis technologies for basic and clinical cancer research (r21 clinical trials not allowed)
RFA-CA-20-056,nci pathway to independence award for outstanding early stage postdoctoral researchers (k99/r00 - independent clinical trial not allowed)
RFA-AI-20-057,understanding the role of the m. tuberculosis granuloma in tuberculosis (tb) disease and treatment outcomes (r01 clinical trial not allowed)
RFA-CA-21-004,advanced development and validation of emerging molecular and cellular analysis technologies for basic and clinical cancer research (r33 clinical trial not allowed)
RFA-DA-18-002,advancing exceptional research on hiv/aids and substance abuse (r01)
RFA-ES-21-001,outstanding new environmental scientist (ones) award (r01 clinical trial optional)
RFA-CA-17-057,limited competition: nci national clinical trials network - network group statistics and data management centers (u10)
RFA-MH-20-300,computational methods for integrating tissue and single cell genomic data from the brain (r01 clinical trial not allowed)
RFA-ES-19-010,undergraduate research education program (up) to enhance diversity in the environmental health sciences (r25 clinical trial not allowed)
RFA-ES-20-005,organotypic culture models developed from experimental animals for chemical toxicity screening (r43/r44 clinical trial not allowed)
RFA-DA-20-024,the national drug abuse treatment clinical trials network (ug1 clinical trial required)
RFA-AI-17-001,cellular therapies for treatment of radiation injuries (u01)
RFA-CA-20-057,nci pathway to independence award for outstanding early stage postdoctoral researchers (k99/r00 - independent clinical trial required)
RFA-CA-20-015,nci pathway to independence award for outstanding early stage postdoctoral researchers (k99/r00 - independent clinical trial required)
RFA-CA-17-056,limited competition: nci national clinical trials network - network group operations centers (u10)
RFA-AI-20-003,partnerships for the development of universal influenza vaccines (r21/r33 clinical trial not allowed)
RFA-MH-20-202,addressing the role of violence on hiv care and viral suppression (r34 clinical trial optional)
RFA-HD-17-006,learning disabilities research centers (p50)
RFA-CA-18-025,cooperative human tissue network (chtn) (um1 clinical trial not allowed)
RFA-CA-17-058,limited competition: nci national clinical trials network - canadian collaborating clinical trials network (u10)
RFA-HL-19-015,physician-scientist (ps) research award for early stage investigators (esis) (r01 - clinical trial optional)
RFA-TR-16-017,microphysiological systems (mps) for disease modeling and efficacy testing (ug3/uh3)
RFA-AI-19-011,computational models of immunity (u01 clinical trial not allowed)
RFA-GM-19-002,the nigms human genetic cell repository (u42 - clinical trial not allowed)
RFA-HL-18-031,regenerative medicine innovation project (rmip) investigator-initiated clinical trials (ug3/uh3 clinical trial required)
RFA-AI-15-050,consortium for food allergy research: leadership center (um2)
RFA-CA-20-018,advanced development and validation of emerging molecular and cellular analysis technologies for basic and clinical cancer research (r33 clinical trials not allowed)
RFA-HD-20-015,population dynamics research infrastructure program fy 2020 (p2c clinical trial not allowed
RFA-HG-20-015,novel synthetic nucleic acid technology development (r21) (clinical trial not allowed)
RFA-MD-18-010,technologies for improving minority health and eliminating health disparities (r41/r42- clinical trial optional)
RFA-AI-20-004,molecular mechanisms of combination adjuvants (mmca) (u01 clinical trial not allowed)
RFA-CA-18-019,research answers to national cancer institute's (nci) provocative questions (r01 clinical trial optional)
RFA-HL-22-009,summer institute for research education in biostatistics and data science (r25 clinical trial not allowed)
RFA-MD-18-002,mechanisms of disparities for hiv- related co-morbidities in health disparity populations (r01-clinical trial not allowed)
RFA-HL-20-022,enabling technologies and transformative platforms for hlbs research (r33 - clinical trials not allowed)
RFA-HL-20-027,catalyze: product definition for small molecules and biologics - preliminary product/lead series identification (r33 - clinical trial not allowed)
RFA-OD-18-005,mentored research scientist career development award in tobacco regulatory research (k01 - independent clinical trial not allowed)
RFA-MD-18-003,research on pre-exposure prophylaxis (prep) to prevent hiv in health disparity populations (r01-clinical trial not allowed)
RFA-HL-22-006,"implementation research to improve case finding, cascade screening, and treatment for familial hypercholesterolemia (fh) (r61/r33 clinical trial required)"
RFA-PM-16-003,precision medicine initiative cohort program participant technologies center (u24)
RFA-CA-19-064,improving the reach and quality of cancer care in rural populations (r01 clinical trial required)
RFA-FD-21-002,renewal-harmonization of technical requirements for pharmaceuticals for human use (u01) clinical trials not allowed
